Redshift	Magnitude
0.2316	21.098958
0.30569	21.588074
0.07997	19.019822
0.17415	20.351422
0.13868	19.897068
0.14607	20.061964
0.08133	18.915623
0.2338	20.793051
0.25655	21.306745
0.24562	21.151867
0.12593	19.89021
0.22351	21.236545
0.10264	19.206141
0.11967	19.578968
0.18055	20.67432
0.19709	20.348239
0.22916	21.093432
0.26451	21.53541
0.10337	19.373517
0.36441	22.299562
0.2056	20.662469
0.17981	21.151747
0.19959	20.849845
0.15653	20.298025
0.1618	20.328307
0.20953	21.86497
0.24179	21.801057
0.23646	21.461512
0.22668	21.06808
0.29678	21.38185
0.20852	20.762042
0.25104	21.936242
0.25012	20.967243
0.11771	19.052211
0.21971	20.855502
0.14901	19.972155
0.28742	21.262819
0.1436	19.837994
0.32837	21.644732
0.24625	21.07527
0.11966	20.319989
0.32838	22.190461
0.21513	21.433042
0.14478	20.466614
0.13243	20.147341
0.21082	20.480731
0.20399	20.912346
0.27952	21.349608
0.04428	17.546294
0.18037	20.228837
0.2607	21.261083
0.05654	17.780075
0.2126	21.246133
0.36941	22.210028
0.17386	20.452267
0.14265	19.708683
0.17789	20.15261
0.25351	21.384596
0.30001	21.706687
0.10589	19.370566
0.22328	20.941812
0.11845	19.436663
0.17653	20.178782
0.1828	20.867304
0.29762	21.845816
0.19699	20.684448
0.15295	19.761456
0.2485	21.203185
0.13818	19.659001
0.20704	21.801005
0.21468	20.730053
0.30632	21.733825
0.24695	21.056951
0.19801	20.948974
0.22256	21.024295
0.13508	20.461573
0.21054	20.791873
0.27258	21.161073
0.2466	20.665733
0.22068	21.520886
0.27447	21.436954
0.17656	20.504592
0.31088	21.860479
0.18435	20.641715
0.15935	19.907795
0.21976	20.943822
0.25205	21.586693
0.18122	20.192003
0.17373	20.54928
0.38047	21.980928
0.17865	20.359333
0.24568	21.326555
0.2091	20.592027
0.24947	21.852696
0.13392	19.607858
0.17706	20.736464
0.28111	21.439311
0.17383	21.032398
0.19654	21.017687
0.36397	22.059517
0.37835	22.421908
0.31646	21.846724
0.18322	20.272733
0.24102	21.005963
0.20203	20.556408
0.16869	20.889914
0.19794	20.774797
0.12276	19.61767
0.20318	20.758955
0.12739	20.104432
0.27549	21.533317
0.14468	20.257201
0.33436	21.862025
0.1958	20.704275
0.19392	21.065011
0.24973	21.02095
0.1486	19.970319
0.15596	20.146078
0.09582	19.773444
0.15065	20.403921
0.30933	22.130926
0.24857	21.127943
0.36554	22.13649
0.19176	20.740998
0.18255	20.47384
0.23472	21.130073
0.24647	20.845774
0.28845	20.859757
0.2096	20.739132
0.19198	20.466522
0.11402	19.173326
0.11389	19.719269
0.1988	20.519882
0.22058	20.764062
0.18257	20.59859
0.15895	19.93795
0.07849	19.240437
0.13864	19.983006
0.18079	20.579248
0.17757	20.428083
0.17066	20.55707
0.23381	20.863174
0.07153	18.172291
